# autogenerated from equil_0000.chk
0	1.7245
1	1.7198
2	1.7169
3	1.7149
4	1.7152
5	1.7183
6	1.7241
7	1.7321
8	1.7409
9	1.7501
10	1.7595
11	1.7683
12	1.7741
13	1.7779
14	1.7791
15	1.7780
16	1.7737
17	1.7664
18	1.7591
19	1.7508
20	1.7426
21	1.7350
22	1.7295
23	1.7259
24	1.7245
25	1.7237
26	1.7241
27	1.7259
28	1.7295
29	1.7342
30	1.7387
31	1.7426
32	1.7466
33	1.7497
34	1.7532
35	1.7566
36	1.7587
37	1.7606
38	1.7620
39	1.7620
40	1.7610
41	1.7585
42	1.7549
43	1.7514
44	1.7468
45	1.7425
46	1.7387
47	1.7356
48	1.7334
49	1.7333
50	1.7325
51	1.7300
52	1.7272
53	1.7258
54	1.7251
55	1.7251
56	1.7259
57	1.7269
58	1.7290
59	1.7315
60	1.7352
61	1.7383
62	1.7416
63	1.7452
64	1.7489
65	1.7539
66	1.7588
67	1.7620
68	1.7646
69	1.7672
70	1.7695
71	1.7710
72	1.7719
73	1.7706
74	1.7694
75	1.7676
76	1.7638
77	1.7593
78	1.7550
79	1.7509
80	1.7462
81	1.7417
82	1.7384
83	1.7365
84	1.7347
85	1.7324
86	1.7303
87	1.7282
88	1.7268
89	1.7251
90	1.7224
91	1.7203
92	1.7178
93	1.7155
94	1.7121
95	1.7095
96	1.7085
97	1.7086
98	1.7106
99	1.7142
100	1.7186
101	1.7223
102	1.7257
103	1.7300
104	1.7352
105	1.7413
106	1.7476
107	1.7527
108	1.7566
109	1.7597
110	1.7617
111	1.7622
112	1.7623
113	1.7625
114	1.7624
115	1.7643
116	1.7653
117	1.7653
118	1.7637
119	1.7605
120	1.7555
121	1.7499
122	1.7447
123	1.7409
124	1.7379
125	1.7352
126	1.7321
127	1.7286
128	1.7254
129	1.7243
130	1.7247
131	1.7253
132	1.7265
133	1.7283
134	1.7306
135	1.7335
136	1.7365
137	1.7394
138	1.7421
139	1.7445
140	1.7470
141	1.7491
142	1.7505
143	1.7510
144	1.7514
145	1.7514
146	1.7505
147	1.7489
148	1.7472
149	1.7459
150	1.7446
151	1.7434
152	1.7423
153	1.7423
154	1.7432
155	1.7443
156	1.7456
157	1.7481
158	1.7516
159	1.7561
160	1.7593
161	1.7617
162	1.7630
163	1.7624
164	1.7614
165	1.7592
166	1.7551
167	1.7490
168	1.7416
169	1.7352
170	1.7294
171	1.7237
172	1.7194
173	1.7165
174	1.7148
175	1.7140
176	1.7145
177	1.7162
178	1.7204
179	1.7264
180	1.7330
181	1.7397
182	1.7453
183	1.7502
184	1.7536
185	1.7561
186	1.7563
187	1.7551
188	1.7529
189	1.7517
190	1.7505
191	1.7498
192	1.7495
193	1.7503
194	1.7509
195	1.7508
196	1.7493
197	1.7464
198	1.7429
199	1.7392
200	1.7354
201	1.7319
202	1.7291
203	1.7278
204	1.7270
205	1.7263
206	1.7257
207	1.7252
208	1.7250
209	1.7247
210	1.7256
211	1.7269
212	1.7289
213	1.7311
214	1.7331
215	1.7350
216	1.7367
217	1.7388
218	1.7383
219	1.7363
220	1.7347
221	1.7326
222	1.7309
223	1.7291
224	1.7281
225	1.7279
